dataset_dir: /projects/yuanai/data/
dataset_name: ImageNet
global_batch_size: 64
workers: 8
resolution: 256
channels: 3
ms_patch_size: 1_2_3_4_5_6_8_10_13_16
fold_patch_size: 1_1_2_3_3_4_5_6_8_11
max_patch_size: 16
codebook_size: 16384
codebook_dim: 32
z_channels: 256
factor: 16
sigma: 0.5
gamma_1: 0.2
gamma_2: 0.1
lambd: 0.2
VQ: wasserstein_vq
resume: False
use_multiscale: False
fold_token: False
use_pq: False
epochs: 1
eval_epochs: 1
lr: 0.001
dropout: 0.0
seed: 3407
warmup_iters: 2000
decay_iters: 10000
stage: substitution
pretrained_tokenizer: /projects/yuanai/projects/VQ-Transplant/VAR/pretrained_tokenizer/vae_ch160v4096z32.pth
checkpoint_dir: /projects/yuanai/projects/VQ-Transplant/VAR/checkpoint/Substitution/ImageNet
results_dir: /projects/yuanai/projects/VQ-Transplant/VAR/results/Substitution/ImageNet
saver_dir: /projects/yuanai/projects/VQ-Transplant/VAR/saver/Substitution/ImageNet
reconstruction_dir: /projects/yuanai/projects/VQ-Transplant/VAR/reconstruction/Substitution/ImageNet
nnodes: -1
node_rank: -1
local_rank: 0
dist_url: tcp://224.66.41.62:23456
dist_backend: nccl
world_size: 1
batch_size: 64
ms_token_size: (1, 2, 3, 4, 5, 6, 8, 10, 13, 16)
fold_token_size: (1, 1, 2, 3, 3, 4, 5, 6, 8, 11)
data_pre: ImageNet_256
model_pre: model_16384_32_16
loss_pre: loss_0.2_0.1
training_pre: wasserstein_vq_substitution_1_False_False_False
saver_name_pre: wasserstein_vq_substitution_1_False_False_False_ImageNet_256_model_16384_32_16_loss_0.2_0.1
dataset name: ImageNet
len train_set: 1281167
len val_set: 50000
Start training...
epoch:1, cur_lr:0.005000
Train Epoch: [1/1] Iters:[10/20018] vq_loss 0.9445, rec_loss 0.3036, wasserstein_loss 1.8381, quant_error 0.5769, codebook_utilization 0.5021, codebook_perplexity 6498.0761,
Train Epoch: [1/1] Iters:[20/20018] vq_loss 0.9449, rec_loss 0.2966, wasserstein_loss 1.8511, quant_error 0.5747, codebook_utilization 0.5330, codebook_perplexity 7132.8812,
Train Epoch: [1/1] Iters:[30/20018] vq_loss 0.9151, rec_loss 0.2859, wasserstein_loss 1.7776, quant_error 0.5596, codebook_utilization 0.5414, codebook_perplexity 7315.1379,
Train Epoch: [1/1] Iters:[40/20018] vq_loss 0.8779, rec_loss 0.2788, wasserstein_loss 1.6790, quant_error 0.5421, codebook_utilization 0.5468, codebook_perplexity 7403.2713,
Train Epoch: [1/1] Iters:[50/20018] vq_loss 0.8503, rec_loss 0.2708, wasserstein_loss 1.5881, quant_error 0.5327, codebook_utilization 0.5525, codebook_perplexity 7522.0223,
Train Epoch: [1/1] Iters:[60/20018] vq_loss 0.7919, rec_loss 0.2552, wasserstein_loss 1.4182, quant_error 0.5083, codebook_utilization 0.5684, codebook_perplexity 7828.4821,
Train Epoch: [1/1] Iters:[70/20018] vq_loss 0.7218, rec_loss 0.2385, wasserstein_loss 1.2008, quant_error 0.4817, codebook_utilization 0.5735, codebook_perplexity 7899.1350,
Train Epoch: [1/1] Iters:[80/20018] vq_loss 0.6598, rec_loss 0.2218, wasserstein_loss 0.9930, quant_error 0.4612, codebook_utilization 0.5813, codebook_perplexity 8004.0894,
Train Epoch: [1/1] Iters:[90/20018] vq_loss 0.6048, rec_loss 0.2009, wasserstein_loss 0.7934, quant_error 0.4461, codebook_utilization 0.5888, codebook_perplexity 8119.3352,
Train Epoch: [1/1] Iters:[100/20018] vq_loss 0.5477, rec_loss 0.1785, wasserstein_loss 0.5939, quant_error 0.4290, codebook_utilization 0.5942, codebook_perplexity 8172.0690,
Train Epoch: [1/1] Iters:[110/20018] vq_loss 0.5044, rec_loss 0.1549, wasserstein_loss 0.4222, quant_error 0.4200, codebook_utilization 0.5979, codebook_perplexity 8176.7687,
